fullname,case_number,location,dx,left_x,right_x,lower_y,top_y,center_x,center_y,center_lat,center_lon,startdate,enddate,sea_ice_fraction,mean_sea_ice_concentration
121-greenland_sea-100km-2012-04-06,121,greenland_sea,100km,812500.0,912500.0,-1062500.0,-962500.0,862500.0,-1012500.0,77.76663966021515,-4.573921259900861,2012-04-06,2012-04-07,,
122-greenland_sea-100km-2007-03-27,122,greenland_sea,100km,787500.0,887500.0,-962500.0,-862500.0,837500.0,-912500.0,78.60259887368134,-2.454031674527073,2007-03-27,2007-03-28,,
123-greenland_sea-100km-2015-05-13,123,greenland_sea,100km,837500.0,937500.0,-1012500.0,-912500.0,887500.0,-962500.0,77.95694517206176,-2.3215305898327165,2015-05-13,2015-05-14,,
124-greenland_sea-100km-2016-08-11,124,greenland_sea,100km,712500.0,812500.0,-862500.0,-762500.0,762500.0,-812500.0,79.74039879126664,-1.8183029644518331,2016-08-11,2016-08-12,,
125-greenland_sea-100km-2013-05-21,125,greenland_sea,100km,887500.0,987500.0,-1037500.0,-937500.0,937500.0,-987500.0,77.47838283313693,-1.4878675288277772,2013-05-21,2013-05-22,,
126-greenland_sea-100km-2009-03-14,126,greenland_sea,100km,1087500.0,1187500.0,-787500.0,-687500.0,1137500.0,-737500.0,77.5329599885405,12.042575142884989,2009-03-14,2009-03-15,,
127-hudson_bay-100km-2019-03-27,127,hudson_bay,100km,-2537500.0,-2437500.0,-2187500.0,-2087500.0,-2487500.0,-2137500.0,60.37543320060329,-94.32764820310818,2019-03-27,2019-03-28,,
128-hudson_bay-100km-2019-04-15,128,hudson_bay,100km,-2662500.0,-2562500.0,-2487500.0,-2387500.0,-2612500.0,-2437500.0,57.853009793119355,-91.98470311215355,2019-04-15,2019-04-16,,
129-hudson_bay-100km-2010-03-24,129,hudson_bay,100km,-2687500.0,-2587500.0,-2512500.0,-2412500.0,-2637500.0,-2462500.0,57.55116862761903,-91.96526057192052,2010-03-24,2010-03-25,,
130-hudson_bay-100km-2007-04-28,130,hudson_bay,100km,-2612500.0,-2512500.0,-2462500.0,-2362500.0,-2562500.0,-2412500.0,58.31153967621843,-91.72698775048764,2007-04-28,2007-04-29,,
131-hudson_bay-100km-2017-03-29,131,hudson_bay,100km,-2112500.0,-2012500.0,-2137500.0,-2037500.0,-2062500.0,-2087500.0,63.38042177015259,-89.65484887683589,2017-03-29,2017-03-30,,
