,fullname,case_number,location,dx,left_x,right_x,lower_y,top_y,center_x,center_y,center_lat,center_lon,startdate,enddate
65,066-bering_chukchi_seas-100km-2011-03-19,066,bering_chukchi_seas,100km,-2312500.0,-2212500.0,2012500.0,2112500.0,-2262500.0,2062500.0,62.27074227899072,-177.3523703347078,2011-03-19,2011-03-20
66,067-bering_chukchi_seas-100km-2008-06-23,067,bering_chukchi_seas,100km,-1812500.0,-1712500.0,1437500.0,1537500.0,-1762500.0,1487500.0,68.94056570505809,-175.1634165542647,2008-06-23,2008-06-24
67,068-bering_chukchi_seas-100km-2015-03-20,068,bering_chukchi_seas,100km,-2362500.0,-2262500.0,1762500.0,1862500.0,-2312500.0,1812500.0,63.348725922335845,-173.08877288097534,2015-03-20,2015-03-21
68,069-bering_chukchi_seas-100km-2013-04-23,069,bering_chukchi_seas,100km,-2837500.0,-2737500.0,2112500.0,2212500.0,-2787500.0,2162500.0,58.23860957981134,-172.80376457091864,2013-04-23,2013-04-24
69,070-bering_chukchi_seas-100km-2012-06-07,070,bering_chukchi_seas,100km,-2637500.0,-2537500.0,1912500.0,2012500.0,-2587500.0,1962500.0,60.65389165183929,-172.17864789562506,2012-06-07,2012-06-08
70,071-bering_chukchi_seas-100km-2009-05-23,071,bering_chukchi_seas,100km,-2562500.0,-2462500.0,1787500.0,1887500.0,-2512500.0,1837500.0,61.824479163964654,-171.17962044797895,2009-05-23,2009-05-24
71,072-bering_chukchi_seas-100km-2008-04-18,072,bering_chukchi_seas,100km,-2912500.0,-2812500.0,1937500.0,2037500.0,-2862500.0,1987500.0,58.60837596513459,-169.77314229365865,2008-04-18,2008-04-19
72,073-bering_chukchi_seas-100km-2012-05-13,073,bering_chukchi_seas,100km,-2612500.0,-2512500.0,1687500.0,1787500.0,-2562500.0,1737500.0,61.96997611243771,-169.13918537836267,2012-05-13,2012-05-14
73,074-bering_chukchi_seas-100km-2013-08-17,074,bering_chukchi_seas,100km,-1587500.0,-1487500.0,962500.0,1062500.0,-1537500.0,1012500.0,73.12390299493046,-168.36636600105956,2013-08-17,2013-08-18
74,075-bering_chukchi_seas-100km-2012-05-23,075,bering_chukchi_seas,100km,-2537500.0,-2437500.0,1587500.0,1687500.0,-2487500.0,1637500.0,62.99920350261355,-168.3565685012383,2012-05-23,2012-05-24
75,076-bering_chukchi_seas-100km-2016-04-15,076,bering_chukchi_seas,100km,-2862500.0,-2762500.0,1637500.0,1737500.0,-2812500.0,1687500.0,60.37378491297163,-165.96375653207352,2016-04-15,2016-04-16
76,077-bering_chukchi_seas-100km-2018-07-23,077,bering_chukchi_seas,100km,-1687500.0,-1587500.0,912500.0,1012500.0,-1637500.0,962500.0,72.59554736559004,-165.44642720928746,2018-07-23,2018-07-24
77,078-bering_chukchi_seas-100km-2019-03-04,078,bering_chukchi_seas,100km,-2262500.0,-2162500.0,1237500.0,1337500.0,-2212500.0,1287500.0,66.68353780091617,-165.19601984372952,2019-03-04,2019-03-05
78,079-bering_chukchi_seas-100km-2011-06-14,079,bering_chukchi_seas,100km,-1762500.0,-1662500.0,937500.0,1037500.0,-1712500.0,987500.0,71.89745002129715,-164.96956947656673,2011-06-14,2011-06-15
79,080-bering_chukchi_seas-100km-2020-08-14,080,bering_chukchi_seas,100km,-1587500.0,-1487500.0,812500.0,912500.0,-1537500.0,862500.0,73.83003244899686,-164.29136217098426,2020-08-14,2020-08-15
80,081-bering_chukchi_seas-100km-2020-06-28,081,bering_chukchi_seas,100km,-1812500.0,-1712500.0,937500.0,1037500.0,-1762500.0,987500.0,71.5059284199646,-164.26119856255056,2020-06-28,2020-06-29
81,082-bering_chukchi_seas-100km-2015-07-12,082,bering_chukchi_seas,100km,-1662500.0,-1562500.0,812500.0,912500.0,-1612500.0,862500.0,73.234777673556,-163.1416012322617,2015-07-12,2015-07-13
82,083-bering_chukchi_seas-100km-2011-07-15,083,bering_chukchi_seas,100km,-2337500.0,-2237500.0,1137500.0,1237500.0,-2287500.0,1187500.0,66.52820938656589,-162.43498531270703,2011-07-15,2011-07-16
83,084-bering_chukchi_seas-100km-2007-07-21,084,bering_chukchi_seas,100km,-1687500.0,-1587500.0,787500.0,887500.0,-1637500.0,837500.0,73.13925622868288,-162.08749061403674,2007-07-21,2007-07-22
